M d02 d05 d08 s1 s3
3.0800 0.010262 0.020527 0.027372 0.045407 0.038099
3.0900 0.008597 0.017195 0.022928 0.038042 0.031935
3.1000 0.006931 0.013863 0.018485 0.030673 0.025760
3.1100 0.005265 0.010530 0.014041 0.023302 0.019575
3.1200 0.003599 0.007197 0.009597 0.015927 0.013383
3.1300 0.001932 0.003864 0.005152 0.008552 0.007187
3.1400 0.000265 0.000531 0.000708 0.001175 0.000987
3.1500 -0.001401 -0.002802 -0.003737 -0.006202 -0.005212
3.1600 -0.003068 -0.006136 -0.008181 -0.013578 -0.011410
3.1700 -0.004734 -0.009469 -0.012625 -0.020953 -0.017603
3.1800 -0.006400 -0.012802 -0.017069 -0.028326 -0.023791
3.1900 -0.008066 -0.016134 -0.021513 -0.035695 -0.029969
3.2000 -0.009731 -0.019466 -0.025956 -0.043062 -0.036137
3.2100 -0.011396 -0.022797 -0.030399 -0.050424 -0.042291
3.2200 -0.013060 -0.026128 -0.034842 -0.057781 -0.048431
3.2300 -0.014723 -0.029458 -0.039283 -0.065132 -0.054553
3.2400 -0.016386 -0.032787 -0.043724 -0.072476 -0.060655
3.2500 -0.018047 -0.036115 -0.048165 -0.079814 -0.066736
3.2600 -0.019708 -0.039442 -0.052604 -0.087143 -0.072793
3.2700 -0.021367 -0.042768 -0.057043 -0.094464 -0.078824
3.2800 -0.023025 -0.046092 -0.061481 -0.101775 -0.084827
3.2900 -0.024682 -0.049415 -0.065917 -0.109076 -0.090799
3.3000 -0.026337 -0.052737 -0.070353 -0.116366 -0.096740
3.3100 -0.027991 -0.056057 -0.074787 -0.123645 -0.102647
3.3200 -0.029643 -0.059375 -0.079220 -0.130911 -0.108518
3.3300 -0.031294 -0.062692 -0.083651 -0.138164 -0.114351
3.3400 -0.032942 -0.066007 -0.088082 -0.145404 -0.120144
3.3500 -0.034589 -0.069320 -0.092510 -0.152628 -0.125896
3.3600 -0.036234 -0.072631 -0.096937 -0.159838 -0.131605
3.3700 -0.037876 -0.075939 -0.101363 -0.167031 -0.137269
3.3800 -0.039516 -0.079245 -0.105786 -0.174208 -0.142886
3.3900 -0.041154 -0.082549 -0.110208 -0.181367 -0.148455
3.4000 -0.042790 -0.085851 -0.114628 -0.188509 -0.153974
3.4100 -0.044423 -0.089150 -0.119046 -0.195631 -0.159442
3.4200 -0.046054 -0.092446 -0.123461 -0.202734 -0.164858
3.4300 -0.047682 -0.095739 -0.127875 -0.209816 -0.170219
3.4400 -0.049307 -0.099030 -0.132286 -0.216878 -0.175525
3.4500 -0.050929 -0.102317 -0.136695 -0.223918 -0.180774
